I'm 19.	J'ai 19 ans.
You're crafty.	Vous êtes rusés.
You're crafty.	Vous êtes rusées.
You're crafty.	Tu es astucieux.
You're crafty.	Tu es astucieuse.
You're creepy.	Tu es sinistre.
You're creepy.	Vous êtes sinistres.
You're famous.	Vous êtes connus.
You're famous.	Vous êtes connues.
You're greedy.	Tu es avide.
You're greedy.	Vous êtes avides.
You're grumpy.	Tu es bougon.
You're grumpy.	Tu es bougonne.
You're grumpy.	Tu es grognon.
You're insane.	Tu es dingue.
You're joking!	Tu plaisantes !
You're joking!	Vous plaisantez !
You're loaded.	T'es plein de fric.
You're loaded.	T'es pleine de fric.
You're no fun.	Tu n'es pas drôle.
You're pretty.	Tu es jolie.
You're skinny.	Vous êtes maigrichonnes.
You're skinny.	Vous êtes maigrichons.
You're sleepy.	Tu es endormie.
You're sleepy.	Vous êtes endormis.
You're sleepy.	Vous êtes endormies.
You're stupid.	Tu es idiote.
You're unfair.	Tu es injuste.
He is Canadian.	Il est canadien.
He is a genius.	C'est un génie.
He is a writer.	Il est écrivain.
He is an actor.	C'est un acteur.
He is bankrupt.	Il est en faillite.
He is my uncle.	C'est mon oncle.
He is outgoing.	Il est ouvert.
He is outgoing.	Il est sociable.
He is outgoing.	Il est extraverti.
He's a bit shy.	Il est un peu timide.
He's a bit shy.	Il est quelque peu timide.
He's a gambler.	Il est joueur.
He's a man now.	C'est désormais un homme.
He's a slacker.	C'est un fainéant.
He's a slacker.	C'est un planqué.
He's an author.	C'est un auteur.
He's an ex-con.	C'est un ancien détenu.
He's an outlaw.	C'est un hors-la-loi.
He's henpecked.	Il est harcelé.
He's in prison.	Il se trouve en prison.
He's my friend.	Il est mon ami.
He's not going.	Il ne s'y rend pas.
He's very open.	Il est très ouvert.
I am Hungarian.	Je suis hongrois.
I am a shy boy.	Je suis un garçon timide.
I am a tourist.	Je suis touriste.
I am in London.	Je suis à Londres.
I am in a spot.	Je suis dans le pétrin.
I am in a spot.	Je suis dans un endroit.
I am off today.	Je suis en congé, aujourd'hui.
I am too short.	Je suis trop petit.
I'm a good guy.	Je suis un mec bien.
I'm a musician.	Je suis musicien.
I'm a musician.	Je suis musicienne.
I'm a nice guy.	Je suis quelqu'un de bien.
I'm a real man.	Je suis un vrai mec.
I'm a salesman.	Je suis un vendeur.
I'm afraid not.	J'ai bien peur que non.
I'm afraid not.	Je crains que non.
I'm against it.	Je suis contre.
I'm all thumbs.	Je suis maladroit.
I'm an old man.	Je suis un vieil homme.
I'm astonished.	Je suis stupéfait.
I'm astonished.	Je suis stupéfaite.
I'm behind him.	Je suis derrière lui.
I'm being used.	On m'utilise.
I'm contagious.	Je suis contagieux.
I'm contagious.	Je suis contagieuse.
I'm dead tired.	Je suis mort de fatigue.
I'm dehydrated.	Je suis déshydraté.
I'm dehydrated.	Je suis déshydratée.
I'm dependable.	Je suis fiable.
I'm dependable.	On peut compter sur moi.
I'm devastated.	Je suis anéanti.
I'm devastated.	Je suis anéantie.
I'm doing well.	Je vais bien.
I'm downstairs.	Je suis en bas.
I'm exercising.	Je suis en train de m'entraîner.
I'm farsighted.	Je vois loin.
I'm fascinated.	Je suis fasciné.
I'm fascinated.	Je suis fascinée.
I'm firing you.	Je te vire.
I'm from Kyoto.	Je viens de Kyoto.
I'm going back.	J'y retourne.
I'm going bald.	Je deviens chauve.
I'm happy, too.	Je suis heureux, moi aussi.
I'm having fun.	Je m'amuse.
I'm illiterate.	Je suis analphabète.
I'm in the car.	Je suis dans la voiture.
I'm interested.	Je suis intéressé.
I'm interested.	Je suis intéressée.
I'm just tired.	Je suis seulement fatigué.
I'm just tired.	Je suis simplement fatigué.
I'm making tea.	Je prépare le thé.
I'm meditating.	Je suis en train de méditer.
I'm methodical.	Je suis méthodique.
I'm no quitter.	Je ne baisse pas facilement les bras.
I'm no quitter.	Je n'abandonne pas facilement.
I'm not amused.	Ça ne m'amuse pas.
I'm not bitter.	Je ne suis pas amer.
I'm not bitter.	Je ne suis pas amère.
I'm not cranky.	Je ne suis pas grincheux.
I'm not cranky.	Je ne suis pas grincheuse.
I'm not guilty.	Je ne suis pas coupable.
I'm not joking.	Je ne blague pas.
I'm not racist.	Je ne suis pas raciste.
I'm not scared.	Ça ne me fait pas peur.
I'm old enough.	Je suis suffisamment grand.
I'm on holiday.	Je suis en vacances.
I'm on holiday.	Je suis en congés.
I'm one of you.	Je suis l'un de vous.
I'm one of you.	Je suis l'un d'entre vous.
I'm optimistic.	Je suis optimiste.
I'm out of gas.	Je suis à court d'essence.
I'm prejudiced.	J'ai des préjugés.
I'm really old.	Je suis vraiment vieux.
I'm reasonable.	Je suis raisonnable.
I'm remodeling.	Je suis en train de réaménager.
I'm so unlucky!	Quelle poisse j'ai !
I'm still busy.	Je suis toujours occupé.
I'm still busy.	Je suis encore occupée.
I'm successful.	J'ai du succès.
I'm the killer.	Je suis le tueur.
I'm the oldest.	Je suis le plus vieux.
I'm undressing.	Je me déshabille.
I'm undressing.	Je me dévêts.
I'm unemployed.	Je suis au chômage.
I'm untalented.	Je n'ai pas de talent.
I'm untalented.	Je suis dépourvu de talent.
I'm untalented.	Je suis dépourvue de talent.
I'm used to it.	J'y suis habitué.
I'm used to it.	J'y suis accoutumé.
I'm used to it.	J'y suis habituée.
I'm vegetarian.	Je suis végétarienne.
I'm wide awake.	Je suis tout à fait éveillé.
I'm wide awake.	Je suis tout à fait éveillée.
She is a nurse.	Elle est infirmière.
She is awkward.	Elle est maladroite.
She is talking.	Elle est en train de s'exprimer.
She isn't poor.	Elle n'est pas pauvre.
She seems rich.	Elle semble riche.
She shot a gun.	Elle a tiré avec une arme.
She sings well.	Elle chante bien.
She smells bad.	Elle pue.
She smells bad.	Elle sent mauvais.
She swims well.	Elle nage bien.
She's a beauty.	Elle est très belle.
She's a beauty.	C'est une belle fille.
She's a hottie.	C'est une bombe.
She's a looker.	C'est un canon.
She's an angel.	C'est un ange.
She's pregnant.	Elle est enceinte.
She's pregnant.	Elle attend un heureux événement.
She's pregnant.	Elle attend famille.
She's too loud.	Elle est trop bruyante.
She's too loud.	Elle parle trop fort.
They're babies.	Ce sont des bébés.
They're boring.	Ils sont ennuyeux.
They're boring.	Elles sont ennuyeuses.
They're coming.	Ils arrivent.
They're idiots.	Ils sont idiots.
We are all set.	Nous sommes tous prêts.
We are all set.	Nous sommes toutes prêtes.
We're a couple.	Nous sommes en couple.
We're a family.	Nous sommes une famille.
We're all done.	Nous en avons complètement fini.
We're brothers.	Nous sommes frères.
We're divorced.	Nous sommes divorcés.
We're escaping.	Nous sommes en train de nous échapper.
We're fighting.	Nous sommes en train de nous battre.
We're grateful.	Nous sommes reconnaissants.
We're grateful.	Nous sommes reconnaissantes.
We're helpless.	Nous sommes impuissants.
We're helpless.	Nous sommes impuissantes.
We're not open.	Nous ne sommes pas ouverts.
We're not open.	Nous ne sommes pas ouvertes.
We're not sure.	Nous ne sommes pas sûrs.
We're not sure.	Nous ne sommes pas sûres.
We're obedient.	Nous sommes obéissants.
We're obedient.	Nous sommes obéissantes.
We're partners.	Nous sommes partenaires.
We're powerful.	Nous sommes puissants.
We're powerful.	Nous sommes puissantes.
We're punctual.	Nous sommes ponctuels.
We're punctual.	Nous sommes ponctuelles.
We're quitting.	Nous abandonnons.
We're reliable.	Nous sommes fiables.
We're retiring.	Nous partons à la retraite.
We're retiring.	Nous partons à la pension.
We're ruthless.	Nous sommes impitoyables.
We're standing.	Nous sommes debout.
We're starving.	Nous mourons de faim.
We're stubborn.	Nous sommes têtus.
We're stubborn.	Nous sommes têtues.
We're students.	Nous sommes étudiants.
We're the best.	Nous sommes les meilleurs.
We're the best.	Nous sommes les meilleures.
We're the last.	Nous sommes les derniers.
We're the last.	Nous sommes les dernières.
We're the same.	Nous sommes pareils.
We're the same.	Nous sommes pareilles.
You are morons.	Vous êtes des idiots.
You are morons.	Vous êtes des crétins.
You are morons.	Vous êtes des attardés mentaux.
You are stupid.	Tu es stupide.
You aren't Tom.	Tu n'es pas Tom.
You're a prude.	Tu es un puritain.
You're a prude.	Tu es une puritaine.
You're amazing.	Tu es incroyable.
You're amazing.	Vous êtes incroyables.
You're amusing.	Tu me fais marrer.
You're awesome.	Tu es génial.
You're awesome.	Tu es géniale.
You're callous.	Tu es insensible.
You're elusive.	Vous êtes insaisissable.
You're finicky.	Vous êtes tatillons.
You're finicky.	Vous êtes tatillonnes.
You're foolish.	Tu es imprudent.
You're foolish.	Tu es imprudente.
You're foolish.	Vous êtes imprudents.
You're foolish.	Vous êtes imprudentes.
You're invited.	Vous êtes invités.
You're invited.	Vous êtes invitées.
You're invited.	Vous êtes invité.
You're invited.	Vous êtes invitée.
You're kidding!	Tu me fais marcher !
You're no help.	Tu n'es d'aucune aide.
You're not fat.	Vous n'êtes pas grosse.
You're not fat.	Vous n'êtes pas grosses.
You're not fit.	Tu ne conviens pas.
You're not fit.	Vous ne convenez pas.
You're precise.	Vous êtes précis.
You're precise.	Tu es précise.
You're psyched.	T'es remontée.
You're selfish.	Vous êtes égoïstes.
You're so mean.	Vous êtes si méchants.
You're so mean.	Vous êtes si méchantes.
You're the pro.	C'est vous le professionnel.
You're welcome.	Je vous en prie.
You're welcome.	Avec plaisir.
You're welcome.	De rien !
You're winning.	Tu gagnes.
You're winning.	Vous gagnez.
You're winning.	Tu l'emportes.
You're winning.	Vous l'emportez.
He is a dreamer.	Il est rêveur.
He is a painter.	Il est peintre.
He is a psychic.	Il est médium.
He is a teacher.	Il est enseignant.
He is a teacher.	Il est instituteur.
He is well paid.	Il est bien payé.
He's a bad liar.	Il ment mal.
He's a comedian.	Il est comédien.
He's a frat boy.	Il est membre d'une fraternité étudiante.
He's a freshman.	C'est un bizuth.
He's a freshman.	C'est un bleu.
He's a gardener.	Il est jardinier.
He's a newcomer.	C'est un nouveau venu.
He's a slowpoke.	C'est un lambin.
He's a slowpoke.	C'est un lourdaud.
He's a southpaw.	C'est un gaucher.
He's going bald.	Il devient chauve.
He's helping me.	Il m'aide.
He's my husband.	Il est mon époux.
He's my partner.	C'est mon associé.
He's my partner.	C'est mon compagnon.
He's my partner.	C'est mon partenaire.
He's not in yet.	Il n'est pas encore là.
He's on his way.	Il est en route.
He's photogenic.	Il est photogénique.
I am a bachelor.	Je suis célibataire.
I am from Egypt.	Je viens d'Égypte.
I am in trouble.	Je suis dans le pétrin.
I am in trouble.	Je suis mal barré.
I am in trouble.	Je suis mal barrée.
I'm Azerbaijani.	Je suis Azeri.
I'm a TV addict.	Je suis accro à la télé.
I'm a bit tipsy.	Je suis un peu éméché.
I'm a bit tipsy.	Je suis un peu éméchée.
I'm a foreigner.	Je suis un étranger.
I'm a housewife.	Je suis femme au foyer.
I'm a masochist.	Je suis masochiste.
I'm a night owl.	Je suis un oiseau de nuit.
I'm able to run.	Je peux courir.
I'm able to ski.	Je sais skier.
I'm about ready.	Je suis presque prêt.
I'm about ready.	Je suis quasiment prêt.
I'm adventurous.	Je suis aventureuse.
I'm an engineer.	Je suis ingénieur.
I'm at work now.	Je suis actuellement au travail.
I'm begging you.	Je vous en supplie.
I'm catching on.	Je capte.
I'm catching on.	Je comprends.
I'm celebrating.	Je fais la fête.
I'm celebrating.	J'arrose ça.
I'm cleaned out.	Je suis lavé.
I'm color-blind.	Je suis daltonien.
I'm comfortable.	Je suis à mon aise.
I'm cooperating.	Je suis en train de coopérer.
I'm cracking up.	Je craque.
I'm embarrassed.	Je suis gêné.
I'm feeling fit.	Je me sens en forme.
I'm feeling low.	Je me sens abattu.
I'm feeling low.	Je me sens abattue.
I'm from Brazil.	Je viens du Brésil.
I'm from Brazil.	Je suis originaire du Brésil.
I'm from France.	Je viens de France.
I'm from Turkey.	Je viens de Turquie.
I'm from Zambia.	Je suis de Zambie.
I'm getting old.	Je commence à devenir vieux.
I'm getting old.	Je vieillis.
I'm hardworking.	Je suis appliqué.
I'm hardworking.	Je suis appliquée.
I'm heartbroken.	J'ai le cœur brisé.
I'm here to win.	Je suis ici pour vaincre.
I'm in no hurry.	Je ne suis pas pressé.
I'm in no hurry.	Je ne suis pas pressée.
I'm interfering.	Je dérange.
I'm introverted.	Je suis introverti.
I'm introverted.	Je suis introvertie.
I'm left-handed.	Je suis gaucher.
I'm nearsighted.	Je suis myope.
I'm not English.	Je ne suis pas anglaise.
I'm not a child.	Je ne suis pas un enfant.
I'm not a crook.	Je ne suis pas un escroc.
I'm not a drunk.	Je ne suis pas un ivrogne.
I'm not a robot.	Je ne suis pas un robot.
I'm not a thief.	Je ne suis pas une voleuse.
I'm not alarmed.	Je ne m'alarme pas.
I'm not arguing.	Je ne me dispute pas.
I'm not nervous.	Je ne suis pas nerveux.
I'm not nervous.	Je ne suis pas nerveuse.
I'm not perfect.	Je ne suis pas parfait.
I'm not perfect.	Je ne suis pas parfaite.
I'm not unhappy.	Je ne suis pas malheureux.
I'm not unhappy.	Je ne suis pas malheureuse.
I'm now unarmed.	Je ne suis pas actuellement armé.
I'm on vacation.	Je suis en vacances.
I'm only joking.	Je ne fais que blaguer.
I'm out of ammo.	Je suis à court de munitions.
I'm persevering.	Je persévère.
I'm pretty busy.	Je suis plutôt occupé.
I'm quite happy.	Je suis assez heureux.
I'm rather busy.	Je suis plutôt occupé.
I'm ready to go.	Je suis prêt à y aller.
I'm ready to go.	Je suis prêt pour partir.
I'm replaceable.	Je suis remplaçable.
I'm resourceful.	Je suis plein de ressources.
I'm sick of you.	J'en ai marre de toi.
I'm so confused.	Je suis tellement confus !
I'm spontaneous.	Je suis spontanée.
I'm spontaneous.	Je suis spontané.
I'm such a fool.	Je suis un tel idiot.
I'm sympathetic.	J'éprouve de la compassion.
I'm the captain.	Je suis le capitaine.
I'm the surgeon.	Je suis le chirurgien.
I'm tired of it.	J'en ai ras le bol.
I'm truly sorry.	Je suis sincèrement désolé.
I'm trustworthy.	Je suis fiable.
I'm unambitious.	Je suis dépourvu d'ambition.
I'm unconvinced.	Je ne suis pas convaincu.
I'm unconvinced.	Je ne suis pas convaincue.
I'm very hungry.	J'ai une faim de loup.
I'm very modest.	Je suis fort modeste.
I'm watching TV.	Je suis en train de regarder la télévision.
I'm your friend.	Je suis votre amie.
I'm your lawyer.	Je suis votre avocat.
I'm your sister.	Je suis ta sœur.
She is Canadian.	Elle est canadienne.
She is Japanese.	Elle est japonaise.
She is a runner.	C'est une coureuse.
She is a singer.	Elle est chanteuse.
She is a typist.	C'est une dactylographe.
She is a typist.	Elle est dactylo.
She is graceful.	Elle est gracieuse.
She scolded him.	Elle le sermonna.
She scolded him.	Elle le gronda.
She scolded him.	Elle l'a sermonné.
She scolded him.	Elle l'a grondé.
She seems happy.	Elle paraît heureuse.
She slapped him.	Elle le gifla.
She slapped him.	Elle l'a giflé.
She sounded mad.	Elle avait l'air folle.
She stabbed him.	Elle le poignarda.
She stabbed him.	Elle l'a poignardé.
She's assertive.	Elle a de l'assurance.
She's depressed.	Elle est déprimée.
She's on a roll.	Elle est dans une bonne passe.
She's on a roll.	Elle a la baraka.
They're animals.	Ce sont des animaux.
They're arguing.	Ils sont en train de se disputer.
They're cousins.	Ils sont cousins.
They're doctors.	Ils sont médecins.
They're jittery.	Elles sont nerveuses.
They're leaving.	Ils partent.
They're leaving.	Ils s'en vont.
They're outside.	Ils sont dehors.
They're similar.	Ils sont similaires.
They're similar.	Ils sont semblables.
They're smiling.	Ils sourient.
They're special.	Elles sont spéciales.
They're staying.	Ils restent.
They're talking.	Ils parlent.
They're too fat.	Elles sont trop grasses.
They're with me.	Ils sont avec moi.
We are his sons.	Nous sommes ses fils.
We are teachers.	Nous sommes enseignants.
We are teachers.	Nous sommes enseignantes.
We are watching.	Nous regardons.
We're Canadians.	Nous sommes Canadiens.
We're Canadians.	Nous sommes canadiennes.
We're adaptable.	Nous sommes flexibles.
We're ambitious.	Nous sommes ambitieuses.
We're available.	Nous sommes disponibles.
We're both fine.	Nous allons bien tous les deux.
We're comedians.	Nous sommes comédiens.
We're committed.	Nous sommes engagés.
We're committed.	Nous sommes engagées.
We're dedicated.	Nous sommes dévoués.
We're dedicated.	Nous sommes dévouées.
We're depressed.	Nous sommes déprimés.
We're different.	Nous sommes différents.
We're different.	Nous sommes différentes.
We're fixing it.	Nous sommes en train de le réparer.
We're flattered.	Nous sommes flattés.
We're gardeners.	Nous sommes jardiniers.
We're gentlemen.	Nous sommes des gentilshommes.
We're giving up.	Nous abandonnons.
We're in charge.	Nous sommes en charge.
We're in charge.	C'est nous qui dirigeons.
We're listening.	Nous écoutons.
We're newcomers.	Nous sommes des nouveaux-venus.
We're newcomers.	Nous sommes des nouvelles-venues.
We're newlyweds.	Nous sommes jeunes mariés.
We're not fools.	Nous ne sommes pas des imbéciles.
We're not fussy.	Nous ne faisons pas de chichis.
We're not going.	Nous ne nous y rendons pas.
We're not happy.	Nous ne sommes pas contents.
We're not happy.	Nous ne sommes pas contentes.
We're past that.	Nous avons dépassé cela.
We're prisoners.	Nous sommes des prisonniers.
We're prisoners.	Nous sommes des prisonnières.
We're realistic.	Nous sommes réalistes.
We're resigning.	Nous démissionnons.
We're resilient.	Nous sommes endurants.
We're resilient.	Nous sommes endurantes.
We're sensitive.	Nous sommes sensibles.
We're separated.	Nous sommes séparées.
We're separated.	Nous sommes séparés.
We're surprised.	Nous sommes surprises.
We're surviving.	Nous survivons.
We're survivors.	Nous sommes des survivants.
We're survivors.	Nous sommes des survivantes.
We're too close.	Nos scores sont trop serrés.
We're too close.	Nous sommes trop proches.
We're uninsured.	Nous ne sommes pas assurés.
We're uninsured.	Nous ne sommes pas assurées.
We're unrelated.	Nous ne sommes pas apparentés.
We're unrelated.	Nous ne sommes pas apparentées.
You are my hero.	Tu es mon héroïne.
You are naughty.	Tu es vilain.
You are naughty.	Tu es vilaine.
You are so cute.	Comme tu es mignonne.
You are tallest.	Tu es le plus grand.
You are the one.	Tu es celui-là.
You are the one.	Tu es l'élu.
You are the one.	Tu es celle-là.
You are the one.	Tu es l'élue.
You're adorable.	Vous êtes adorables.
You're all done.	Vous êtes tous finis.
You're all done.	Vous êtes toutes finies.
You're an idiot.	Tu es un idiot.
You're annoying.	T'es chiant.
You're annoying.	Tu es chiante.
You're arrogant.	Tu es arrogant.
